id,jurisdiction,body,meeting_date,title,item_type,confidence,signal_type,description,location,acres,units,developer,zoning_from,zoning_to,status_enum,growth_score,notes,url,agenda_text,source,scraped_at,lat,lng,geocode_source,geocode_confidence
pmn_1061929,American Fork,Planning Commission,2026-03-04,Planning Commission Agenda - Meeting Canceled,nan,nan,,,,,,,,,PROPOSED,,,https://www.utah.gov/pmn/sitemap/notice/1061929.html,"CANCELED - AMERICAN FORK CITY
PLANNING COMMISSION AGENDA
________________________________________
Regular Session - CANCELED
March 04, 2026
Wednesday 6:30 PM

American Fork City Hall
31 North Church Street
American Fork City, UT 84003
https://www.americanfork.gov/AgendaCenter
________________________________________Planning Commission Members
 
Christine Anderson, Chair
Chris Christiansen, Vice Chair   
Geoff Dupaix
Rod Martin
David Bird
Harold Dudley
Claire Oldham 

 
Notice is hereby given that the American Fork City Planning Commission regular session on March 4, 2026, has been canceled. 

Dated this 24th day of February 2026
Patrick O'Brien
Development Services Director
*The order of agenda items may change at the discretion of the Planning Commission Chair",pmn,2026-06-29T12:38:02.014626Z,,,,
pmn_1064079_item0,American Fork,Planning Commission,2026-03-18,"Chipman and Stake Center Annexation - 24 acres at 100 W 700 S, proposed PR-3.0 zoning",nan,0.9,ANNEXATION,Property currently in Utah County Territory proposing to annex into American Fork City. Recommended zoning designation is PR-3.0 (Planned Residential Zone) for approximately 24 acres.,"100 W 700 S, American Fork City",24,,,,PR-3.0,PROPOSED,72,"Planned Residential zoning suggests multi-family or master-planned community potential. Public hearing scheduled for March 18, 2026. Supporting documentation available at americanfork.gov or by contacting City Recorder at 801.763.3000.",https://www.utah.gov/pmn/sitemap/notice/1064079.html,,pmn,2026-06-29T12:38:02.014623Z,40.360702,-111.8015381,haiku_nominatim,0.70
pmn_1069503,American Fork,Planning Commission,2026-04-08,Planning Commission Agenda - Canceled,nan,nan,,,,,,,,,PROPOSED,,,https://www.utah.gov/pmn/sitemap/notice/1069503.html,"AMERICAN FORK CITY
PLANNING COMMISSION AGENDA - Canceled
________________________________________

Regular Session- Canceled 
April 8, 2026
Wednesday 6:30 PM

American Fork City Hall
31 North Church Street
American Fork City, UT 84003
https://www.americanfork.gov/AgendaCenter
________________________________________
Planning Commission Members
 
Christine Anderson, Chair
Chris Christiansen, Vice Chair   
Geoff Dupaix
Rod Martin
David Bird
Harold Dudley
Claire Oldham 

 
Notice is hereby given that the American Fork City Planning Commission regular session on April 8, 2026, has been canceled. 

Dated this 30th day of March 2026
Patrick O'Brien
Development Services Director

*The order of agenda items may change at the discretion of the Planning Commission Chair",pmn,2026-06-29T12:38:02.014620Z,,,,
pmn_1072501_item0,American Fork,Planning Commission,2026-04-15,"Discussion on proposed amendments to City's Municipal Code, General Plan, and Zoning",nan,0.9,GENERAL_PLAN_AMENDMENT,"Work session to discuss proposed amendments to American Fork City's Municipal Code, General Plan, and Zoning ordinances. Specific amendments and details not provided in agenda.",,,,,,,PROPOSED,35,"This is a work session agenda item with limited detail. Specific code amendments, plan changes, and zoning modifications to be discussed are not identified in the agenda packet provided.",https://www.utah.gov/pmn/sitemap/notice/1072501.html,,pmn,2026-06-29T12:38:02.014618Z,,,,
pmn_1071687_item0,American Fork,Planning Commission,2026-04-22,Rockport Industrial commercial site plan at 205 W Frontage Rd,nan,0.9,COMMERCIAL_PROJECT,"Review and action on a Commercial Site Plan for Rockport Industrial, a 1.43-acre industrial project in the Planned Industrial (PI-1) Zone.","205 W Frontage Rd, American Fork City",1.43,,,,PI-1,PROPOSED,35,Planned Industrial zoning indicates light manufacturing or warehousing use. Site plan approval authority delegated to Planning Commission.,https://www.utah.gov/pmn/sitemap/notice/1071687.html,,pmn,2026-06-29T12:38:02.014615Z,40.3716091,-111.8041969,haiku_nominatim,0.70
pmn_1071687_item1,American Fork,Planning Commission,2026-04-22,Lone Automotive auto dealership request for consideration,nan,0.9,COMMERCIAL_PROJECT,"Review and action on a Request for Consideration for Lone Automotive, requesting to operate an Auto Dealership in GC-1 General Commercial zoning.",,,,Lone Automotive,,GC-1,PROPOSED,30,Auto dealership use in General Commercial zone. Request for Consideration suggests conditional use or operational approval pathway.,https://www.utah.gov/pmn/sitemap/notice/1071687.html,,pmn,2026-06-29T12:38:02.014615Z,,,,
pmn_1071687_item2,American Fork,Planning Commission,2026-04-22,Mira Vista Phase 4 commercial site plan at 530 S 1040 E,nan,0.9,COMMERCIAL_PROJECT,"Review and action on a Commercial Site Plan for Mira Vista Phase 4, a 1.05-acre commercial project in the R3-7500 residential zone.","530 S 1040 E, American Fork City",1.05,,,R3-7500,R3-7500,PROPOSED,25,Commercial use proposed within residential zone; may indicate mixed-use or commercial encroachment into residential area requiring special approval.,https://www.utah.gov/pmn/sitemap/notice/1071687.html,,pmn,2026-06-29T12:38:02.014615Z,,,,
pmn_1071687_item3,American Fork,Planning Commission,2026-04-22,Climb Concrete industrial site plan at 300 E 1700 S,nan,0.9,COMMERCIAL_PROJECT,"Review and action on a Commercial Site Plan for Climb Concrete, a 5-acre industrial project in the I-1 Industrial Zone.","300 E 1700 S, American Fork City",5.0,,,,I-1,PROPOSED,45,5-acre industrial site plan meets large project threshold. Concrete-related use indicates manufacturing or processing facility.,https://www.utah.gov/pmn/sitemap/notice/1071687.html,,pmn,2026-06-29T12:38:02.014615Z,,,,
pmn_1074985_item0,American Fork,Planning Commission,2026-05-06,620 South Annexation - 7.03 acres at 6695 West 7300 North,nan,0.9,ANNEXATION,Review and recommendation on a proposed Annexation Agreement for approximately 7.03 acres to be annexed into American Fork City and zoned PF (Public Facilities),"6695 West 7300 North, American Fork City",7.03,,,,PF,PROPOSED,65,"Public Facilities zoning suggests municipal or institutional use. Hearing scheduled for May 6, 2026 at 6:30 PM.",https://www.utah.gov/pmn/sitemap/notice/1074985.html,,pmn,2026-06-29T12:38:02.014612Z,40.3641818,-111.8181763,haiku_nominatim,0.70
pmn_1077583_item0,American Fork,City Council,2026-05-12,Chipman/Stake Center Annexation - 24 acres at 515 South 100 West,nan,0.9,ANNEXATION,"Public hearing for annexation petition covering approximately 24 acres of property. Petition was accepted by city council on October 22, 2024, and previously heard on February 25, 2025. City council will vote to deny or grant the annexation petition following the May 12 public hearing.","515 South 100 West, American Fork",24,,,,,PROPOSED,65,"Petition petition was filed and accepted in October 2024. A prior public hearing was held February 25, 2025. May 12 hearing is the decision point. Petition available for inspection at City Recorder's office.",https://www.utah.gov/pmn/sitemap/notice/1077583.html,,pmn,2026-06-29T12:38:02.014432Z,40.3659441,-111.8012456,nominatim,0.75
pmn_1078299,American Fork,Planning Commission,2026-05-20,Planning Commission Agenda - Canceled,nan,nan,,,,,,,,,PROPOSED,,,https://www.utah.gov/pmn/sitemap/notice/1078299.html,"CANCELED - AMERICAN FORK CITY
PLANNING COMMISSION AGENDA
________________________________________
Regular Session - Canceled
May 20, 2026
Wednesday 6:30 PM

American Fork City Hall
31 North Church Street
American Fork City, UT 84003
https://www.americanfork.gov/AgendaCenter
________________________________________Planning Commission Members
 
Christine Anderson, Chair
Chris Christiansen, Vice Chair   
Geoff Dupaix
Rod Martin
David Bird
Harold Dudley
Claire Oldham 

 
Notice is hereby given that the American Fork City Planning Commission regular session on May 20, 2026, has been canceled.

Dated this 6th day of May 2026
Patrick O'Brien
Development Services Director
*The order of agenda items may change at the discretion of the Planning Commission Chair",pmn,2026-06-29T12:38:02.014610Z,,,,
pmn_1082821_item0,American Fork,City Council,2026-05-26,620 South Annexation - 6.816 acres at approximately 700 West 620 South,nan,0.9,ANNEXATION,Public hearing and consideration of annexation of 6.816 acres located at approximately 700 West 620 South into American Fork City,700 West 620 South,6.816,,,,,PROPOSED,65,Annexation item appears in public hearing agenda; formal action review appears in regular session as item 3 (withdrawal of different annexation - Chipman/Stake Center),https://www.utah.gov/pmn/sitemap/notice/1082821.html,,pmn,2026-06-29T12:38:02.014373Z,40.519643,-112.319001,nominatim,0.75
pmn_1076037_item0,American Fork,City Council,2026-05-26,Annexation of property at 700 West 620 South (620 South Annexation),nan,0.9,ANNEXATION,"Public hearing for American Fork City Council to consider annexation of approximately 1.5-acre parcel located at 700 West 620 South. The City Council adopted Resolution No. 2026-04-15R on April 14, 2026 indicating intent to annex. Hearing scheduled for May 26, 2026. Annexation is being pursued without a petition in accordance with UCA 10-2-812. Written protests may be filed by property owners within the annexation area.","700 West 620 South, American Fork, Utah",,,,,,PROPOSED,35,"Annexation notice only; no development proposal or zoning information included. Public hearing is May 26, 2026 at 7:00 p.m. at American Fork City Hall. Maps available at City Recorders Office, 51 East Main Street.",https://www.utah.gov/pmn/sitemap/notice/1076037.html,,pmn,2026-06-29T12:38:02.014375Z,40.3641702,-111.8235381,nominatim,0.75
