address,sale_date,sale_price,price_per_acre,acres,zoning_class,source,link,scraped_at
"26915 S PILOT MOUNTAIN RD, Box Elder County, UT",2026-01-01,3600,39.45,91.24727905,NON-FAA,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,700,17.16,40.79144905,NON-FAA,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,4487,20.54,218.49603481,Agricultural,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,940,19.58,48.01232522,Exempt,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,960,19.44,49.37300474,Exempt,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,500,18.45,27.10119,NON-FAA,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,3758,21.84,172.10426381,NON-FAA,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,6216,19.95,311.58350787,NON-FAA,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,6400,20.62,310.37385168,NON-FAA,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,2874,18.73,153.42649208,Agricultural,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,3101,19.05,162.74071646,NON-FAA,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,2200,14.68,149.89384437,NON-FAA,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,4499,13.71,328.1834611,NON-FAA,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,4280,19.8,216.20609175,NON-FAA,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,3200,19.96,160.33573174,NON-FAA,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,3200,20.06,159.50438197,NON-FAA,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,3200,19.98,160.17262804,NON-FAA,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,4314,53.28,80.96652159,Agricultural,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,4800,19.88,241.48213273,Agricultural,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,17750,54.42,326.1816465,Agricultural,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,33705,403.96,83.43734764,Agricultural,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,32035,92.32,346.99407336,Agricultural,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,3101,19.36,160.19695781,NON-FAA,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,4908,50.88,96.46763129,NON-FAA,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
"Box Elder County, UT",2026-01-01,5826,26.43,220.44839262,Agricultural,ugrc_lir_assessor_fallback:box_elder,https://www.boxeldercountyut.gov/recorder.htm,2026-05-24T11:02:50+00:00
