address,sale_date,sale_price,price_per_acre,acres,zoning_class,source,link,scraped_at
"832 E ANTELOPE DR, Layton, Davis County, UT",2026-01-01,747,747.0,1.0,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"Layton, Davis County, UT",2026-01-01,1,1.18,0.85,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"1530 N HILL FIELD RD, Layton, Davis County, UT",2026-01-01,388113,718727.78,0.54,Commercial,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"Layton, Davis County, UT",2026-01-01,277117,488742.5,0.567,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"1484 N MAIN ST, Layton, Davis County, UT",2026-01-01,494858,610935.8,0.81,Commercial,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"1480 N MAIN ST, Layton, Davis County, UT",2026-01-01,512462,718740.53,0.713,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"Layton, Davis County, UT",2026-01-01,1747,601.17,2.906,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"Layton, Davis County, UT",2026-01-01,847728,258453.66,3.28,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"Layton, Davis County, UT",2026-01-01,2019,600.89,3.36,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"848 E ANTELOPE DR, Layton, Davis County, UT",2026-01-01,747,747.0,1.0,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"1500 W GORDON AVE, Layton, Davis County, UT",2026-01-01,121358,173368.57,0.7,Commercial,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"Layton, Davis County, UT",2026-01-01,6932,848.99,8.165,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"Layton, Davis County, UT",2026-01-01,30,18.75,1.6,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"Layton, Davis County, UT",2026-01-01,433,849.02,0.51,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"Layton, Davis County, UT",2026-01-01,7,12.96,0.54,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"Layton, Davis County, UT",2026-01-01,11212,849.01,13.206,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"Layton, Davis County, UT",2026-01-01,1,0.68,1.48,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"Layton, Davis County, UT",2026-01-01,1,1.1,0.91,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"Layton, Davis County, UT",2026-01-01,350547,350547.0,1.0,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"583 N FORT LN, Layton, Davis County, UT",2026-01-01,52,18.98,2.74,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"Layton, Davis County, UT",2026-01-01,76,19.0,4.0,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"Layton, Davis County, UT",2026-01-01,203999,361700.35,0.564,Unknown,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
"Layton, Davis County, UT",2026-01-01,173369,346738.0,0.5,Commercial,ugrc_lir_assessor_fallback:davis,https://www.daviscountyutah.gov/recorder,2026-05-10T02:29:20+00:00
