address,sale_date,sale_price,price_per_acre,acres,zoning_class,source,link,scraped_at
"384 S COLEMAN ST, Tooele, Tooele County, UT",2026-01-01,26118,19937.4,1.31,Vacant,ugrc_lir_assessor_fallback:tooele,https://tooeleco.org/government/elected-officials/county-recorder/,2026-05-17T10:54:06+00:00
"1030 S 900 W, Tooele, Tooele County, UT",2026-01-01,254844,72812.57,3.5,Tax Exempt,ugrc_lir_assessor_fallback:tooele,https://tooeleco.org/government/elected-officials/county-recorder/,2026-05-17T10:54:06+00:00
"1717 N BERRA BLVD, Tooele, Tooele County, UT",2026-01-01,981500,326079.73,3.01,Tax Exempt,ugrc_lir_assessor_fallback:tooele,https://tooeleco.org/government/elected-officials/county-recorder/,2026-05-17T10:54:06+00:00
"1707 N DEAN DR, Tooele, Tooele County, UT",2026-01-01,1553500,325681.34,4.77,Tax Exempt,ugrc_lir_assessor_fallback:tooele,https://tooeleco.org/government/elected-officials/county-recorder/,2026-05-17T10:54:06+00:00
"3541 N 750 W, Erda, Tooele County, UT",2026-01-01,245565,202611.39,1.212,Tax Exempt,ugrc_lir_assessor_fallback:tooele,https://tooeleco.org/government/elected-officials/county-recorder/,2026-05-17T10:54:06+00:00
"2052 N 170 W, Tooele, Tooele County, UT",2026-01-01,2895750,325365.17,8.9,Tax Exempt,ugrc_lir_assessor_fallback:tooele,https://tooeleco.org/government/elected-officials/county-recorder/,2026-05-17T10:54:06+00:00
"691 E CEDARVIEW ST, Tooele, Tooele County, UT",2026-01-01,290630,48600.33,5.98,Tax Exempt,ugrc_lir_assessor_fallback:tooele,https://tooeleco.org/government/elected-officials/county-recorder/,2026-05-17T10:54:06+00:00
"1652 N PINE CANYON RD, Tooele, Tooele County, UT",2026-01-01,252525,137241.85,1.84,Vacant - Commercial,ugrc_lir_assessor_fallback:tooele,https://tooeleco.org/government/elected-officials/county-recorder/,2026-05-17T10:54:06+00:00
"1581 N MAIN ST, Tooele, Tooele County, UT",2026-01-01,331500,328217.82,1.01,Vacant - Commercial,ugrc_lir_assessor_fallback:tooele,https://tooeleco.org/government/elected-officials/county-recorder/,2026-05-17T10:54:06+00:00
"42 E 1000 N, Tooele, Tooele County, UT",2026-01-01,105810,207470.59,0.51,Commercial,ugrc_lir_assessor_fallback:tooele,https://tooeleco.org/government/elected-officials/county-recorder/,2026-05-17T10:54:06+00:00
"2152 N 400 W, Tooele, Tooele County, UT",2026-01-01,148930,9589.83,15.53,Tax Exempt,ugrc_lir_assessor_fallback:tooele,https://tooeleco.org/government/elected-officials/county-recorder/,2026-05-17T10:54:06+00:00
"1112 N 200 W, Tooele, Tooele County, UT",2026-01-01,3348150,195113.64,17.16,Vacant - Commercial,ugrc_lir_assessor_fallback:tooele,https://tooeleco.org/government/elected-officials/county-recorder/,2026-05-17T10:54:06+00:00
