address,sale_date,sale_price,price_per_acre,acres,zoning_class,source,link,scraped_at
"Weber County, UT",2026-01-01,1120000,7000.0,160.0,Vacant - Agricultural,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Uintah, Weber County, UT",2026-01-01,2540400,120000.0,21.17,Vacant - Agricultural,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Weber County, UT",2026-01-01,155000,25000.0,6.2,Tax Exempt,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Marriott-Slaterville, Weber County, UT",2026-01-01,511200,40000.0,12.78,Vacant - Agricultural,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Plain City, Weber County, UT",2026-01-01,671040,24000.0,27.96,Vacant - Agricultural,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Weber County, UT",2026-01-01,804000,60000.0,13.4,Vacant - Agricultural,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Weber County, UT",2026-01-01,52500,3000.0,17.5,Tax Exempt,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Farr West, Weber County, UT",2026-01-01,352000,110000.0,3.2,Vacant - Commercial,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"1988 N FRUITLAND DR, North Ogden, Weber County, UT",2026-01-01,32700,30000.0,1.09,Residential,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"North Ogden, Weber County, UT",2026-01-01,287650,55000.0,5.23,Tax Exempt,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"2108 RIDGEDALE CIR, Ogden, Weber County, UT",2026-01-01,911502,274548.8,3.32,Vacant,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Roy, Weber County, UT",2026-01-01,556500,210000.0,2.65,Tax Exempt,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Riverdale, Weber County, UT",2026-01-01,24000,30000.0,0.8,Tax Exempt,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Weber County, UT",2026-01-01,673750,3500.0,192.5,Tax Exempt,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Weber County, UT",2026-01-01,185500,50000.0,3.71,Vacant - Agricultural,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"4200 S 2175 W, Roy, Weber County, UT",2026-01-01,74250,25000.0,2.97,Tax Exempt,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"West Haven, Weber County, UT",2026-01-01,982944,310076.97,3.17,Vacant - Commercial,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Weber County, UT",2026-01-01,6585000,300000.0,21.95,Vacant - Agricultural,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Weber County, UT",2026-01-01,470700,30000.0,15.69,Vacant - Agricultural,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Ogden, Weber County, UT",2026-01-01,137822,170150.62,0.81,Vacant,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Ogden, Weber County, UT",2026-01-01,26250,25000.0,1.05,Tax Exempt,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Ogden, Weber County, UT",2026-01-01,406250,406250.0,1.0,Tax Exempt,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Huntsville, Weber County, UT",2026-01-01,520000,79754.6,6.52,Tax Exempt,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Weber County, UT",2026-01-01,2697600,86130.27,31.32,Vacant - Agricultural,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
"Weber County, UT",2026-01-01,1790,1000.0,1.79,Tax Exempt,ugrc_lir_assessor_fallback:weber,https://www.webercountyutah.gov/Recorder_Surveyor/,2026-08-16T06:36:51+00:00
