parcel_id,vacancy_class,source_signal
0,developed,missing_values_default_developed
0-008839,developed,missing_values_default_developed
00-0000-0013,developed,building_fields_no_values
00-0000-0021,developed,building_fields_no_values
00-0000-0039,developed,building_fields_no_values
00-0000-0047,developed,building_fields_no_values
00-0000-0054,developed,building_fields_no_values
00-0000-0062,developed,building_fields_no_values
00-0000-0070,developed,building_fields_no_values
00-0000-0088,developed,building_fields_no_values
00-0000-0096,developed,building_fields_no_values
00-0000-0104,vacant,improvement_value_zero_or_null
00-0000-0112,vacant,improvement_value_zero_or_null
00-0000-0120,vacant,improvement_value_zero_or_null
00-0000-0138,vacant,improvement_value_zero_or_null
00-0000-0146,vacant,improvement_value_zero_or_null
00-0000-0153,vacant,improvement_value_zero_or_null
00-0000-0161,vacant,improvement_value_zero_or_null
00-0000-0179,vacant,improvement_value_zero_or_null
00-0000-0187,vacant,improvement_value_zero_or_null
00-0000-0211,vacant,improvement_value_zero_or_null
00-0000-0229,vacant,improvement_value_zero_or_null
00-0000-0252,vacant,improvement_value_zero_or_null
00-0000-0278,vacant,improvement_value_zero_or_null
00-0000-0286,vacant,improvement_value_zero_or_null
00-0000-0294,vacant,improvement_value_zero_or_null
00-0000-0302,vacant,improvement_value_zero_or_null
00-0000-0310,vacant,improvement_value_zero_or_null
00-0000-0328,developed,developed_land_use_no_values
00-0000-0336,vacant,improvement_value_zero_or_null
00-0000-0344,vacant,improvement_value_zero_or_null
00-0000-0351,vacant,improvement_value_zero_or_null
00-0000-0369,vacant,improvement_value_zero_or_null
00-0000-0377,vacant,improvement_value_zero_or_null
00-0000-0385,vacant,improvement_value_zero_or_null
00-0000-0393,vacant,improvement_value_zero_or_null
00-0000-0401,vacant,improvement_value_zero_or_null
00-0000-0427,developed,improvement_value_ge_20pct_land_value
00-0000-0435,developed,improvement_value_ge_20pct_land_value
00-0000-0443,developed,improvement_value_ge_20pct_land_value
00-0000-0450,developed,improvement_value_ge_20pct_land_value
00-0000-0468,developed,improvement_value_ge_20pct_land_value
00-0000-0476,developed,improvement_value_ge_20pct_land_value
00-0000-0484,developed,improvement_value_ge_20pct_land_value
00-0000-0492,developed,improvement_value_ge_20pct_land_value
00-0000-0518,developed,improvement_value_ge_20pct_land_value
00-0000-0542,vacant,improvement_value_zero_or_null
00-0000-0559,vacant,improvement_value_zero_or_null
00-0000-0575,vacant,improvement_value_zero_or_null
00-0000-0583,vacant,improvement_value_zero_or_null
00-0000-0591,vacant,improvement_value_zero_or_null
00-0000-0617,vacant,improvement_value_zero_or_null
00-0000-0625,vacant,improvement_value_zero_or_null
00-0000-0633,developed,improvement_value_ge_20pct_land_value
00-0000-0641,vacant,improvement_value_zero_or_null
00-0000-0658,vacant,improvement_value_zero_or_null
00-0000-0666,vacant,improvement_value_zero_or_null
00-0000-0674,vacant,improvement_value_zero_or_null
00-0000-0682,vacant,improvement_value_zero_or_null
00-0000-0690,vacant,improvement_value_zero_or_null
00-0000-0708,developed,improvement_value_ge_20pct_land_value
00-0000-0716,vacant,improvement_value_zero_or_null
00-0000-0724,vacant,improvement_value_zero_or_null
00-0000-0732,vacant,improvement_value_zero_or_null
00-0000-0740,vacant,improvement_value_zero_or_null
00-0000-0757,vacant,improvement_value_zero_or_null
00-0000-0765,vacant,improvement_value_zero_or_null
00-0000-0773,vacant,improvement_value_zero_or_null
00-0000-0781,vacant,improvement_value_zero_or_null
00-0000-0799,vacant,improvement_value_zero_or_null
00-0000-0807,vacant,improvement_value_zero_or_null
00-0000-0815,vacant,improvement_value_zero_or_null
00-0000-0823,vacant,improvement_value_zero_or_null
00-0000-0831,vacant,improvement_value_zero_or_null
00-0000-0849,developed,improvement_value_ge_20pct_land_value
00-0000-0856,vacant,improvement_value_zero_or_null
00-0000-0864,developed,improvement_value_ge_20pct_land_value
00-0000-0872,developed,improvement_value_ge_20pct_land_value
00-0000-0880,vacant,improvement_value_zero_or_null
00-0000-0898,vacant,improvement_value_zero_or_null
00-0000-0906,vacant,improvement_value_zero_or_null
00-0000-0914,developed,improvement_value_ge_20pct_land_value
00-0000-0922,vacant,improvement_value_zero_or_null
00-0000-0930,vacant,improvement_value_zero_or_null
00-0000-0948,developed,improvement_value_ge_20pct_land_value
00-0000-0955,vacant,improvement_value_zero_or_null
00-0000-0963,vacant,improvement_value_zero_or_null
00-0000-0971,vacant,improvement_value_zero_or_null
00-0000-0989,vacant,improvement_value_zero_or_null
00-0000-0997,vacant,improvement_value_zero_or_null
00-0000-1003,vacant,improvement_value_zero_or_null
00-0000-1011,vacant,improvement_value_zero_or_null
00-0000-1029,vacant,improvement_value_zero_or_null
00-0000-1037,developed,improvement_value_ge_20pct_land_value
00-0000-1045,developed,improvement_value_ge_20pct_land_value
00-0000-1052,vacant,improvement_value_zero_or_null
00-0000-1060,vacant,improvement_value_zero_or_null
00-0000-1078,developed,improvement_value_ge_20pct_land_value
00-0000-1086,vacant,improvement_value_zero_or_null
00-0000-1094,vacant,improvement_value_zero_or_null
00-0000-1102,developed,improvement_value_ge_20pct_land_value
00-0000-1110,vacant,improvement_value_zero_or_null
00-0000-1128,partial,improvement_value_lt_20pct_land_value
00-0000-1136,vacant,improvement_value_zero_or_null
00-0000-1144,vacant,improvement_value_zero_or_null
00-0000-1151,vacant,improvement_value_zero_or_null
00-0000-1169,developed,improvement_value_ge_20pct_land_value
00-0000-1177,vacant,improvement_value_zero_or_null
00-0000-1185,vacant,improvement_value_zero_or_null
00-0000-1193,vacant,improvement_value_zero_or_null
00-0000-1201,vacant,improvement_value_zero_or_null
00-0000-1219,vacant,improvement_value_zero_or_null
00-0000-1227,developed,improvement_value_ge_20pct_land_value
00-0000-1235,developed,improvement_value_ge_20pct_land_value
00-0000-1243,vacant,improvement_value_zero_or_null
00-0000-1250,vacant,improvement_value_zero_or_null
00-0000-1268,developed,improvement_value_ge_20pct_land_value
00-0000-1276,vacant,improvement_value_zero_or_null
00-0000-1284,developed,improvement_value_ge_20pct_land_value
00-0000-1292,developed,improvement_value_ge_20pct_land_value
00-0000-1300,vacant,improvement_value_zero_or_null
00-0000-1318,vacant,improvement_value_zero_or_null
00-0000-1326,vacant,improvement_value_zero_or_null
00-0000-1334,vacant,improvement_value_zero_or_null
00-0000-1342,vacant,improvement_value_zero_or_null
00-0000-1359,vacant,improvement_value_zero_or_null
00-0000-1367,vacant,improvement_value_zero_or_null
00-0000-1375,developed,improvement_value_ge_20pct_land_value
00-0000-1383,vacant,improvement_value_zero_or_null
00-0000-1391,vacant,improvement_value_zero_or_null
00-0000-1409,vacant,improvement_value_zero_or_null
