parcel_id,centroid_lng,centroid_lat,sampled_zone,extraction_method,color_match_confidence,lab_distance,parcel_city,acreage
26222390010000,-112.048254,40.541303,Mixed Use - Towne Center,centroid,0.071,13.08,South Jordan,0.19
26222390020000,-112.048002,40.541282,Mixed Use - Towne Center,centroid,0.0717,12.96,South Jordan,0.16
26222390030000,-112.047749,40.541262,Mixed Use - Towne Center,centroid,0.0736,12.59,South Jordan,0.19
26222400010000,-112.048303,40.540947,Mixed Use - Towne Center,centroid,0.0725,12.79,South Jordan,0.19
26222400020000,-112.048051,40.540926,Mixed Use - Towne Center,centroid,0.0731,12.69,South Jordan,0.16
26222400030000,-112.047799,40.540906,Mixed Use - Towne Center,centroid,0.0749,12.35,South Jordan,0.19
26222410010000,-112.047265,40.54121,Mixed Use - Towne Center,centroid,0.0775,11.9,South Jordan,0.18
26222410020000,-112.047044,40.54122,Mixed Use - Towne Center,centroid,0.0763,12.1,South Jordan,0.13
26222410030000,-112.04681,40.541201,Mixed Use - Towne Center,centroid,0.0772,11.96,South Jordan,0.17
26222410040000,-112.047237,40.540966,Mixed Use - Towne Center,centroid,0.078,11.81,South Jordan,0.13
26222410050000,-112.047259,40.540801,Mixed Use - Towne Center,centroid,0.0785,11.73,South Jordan,0.15
26222420010000,-112.046845,40.540962,Mixed Use - Towne Center,centroid,0.0794,11.6,South Jordan,0.06
26222420020000,-112.046858,40.540865,Mixed Use - Towne Center,centroid,0.0809,11.36,South Jordan,0.06
26222420030000,-112.046873,40.540751,Mixed Use - Towne Center,centroid,0.0819,11.21,South Jordan,0.09
26222430010000,-112.046323,40.541162,Mixed Use - Towne Center,centroid,0.0781,11.81,South Jordan,0.17
26222430020000,-112.04608,40.541141,Mixed Use - Towne Center,centroid,0.0785,11.75,South Jordan,0.14
26222430030000,-112.045846,40.5411,Mixed Use - Towne Center,centroid,0.0785,11.74,South Jordan,0.21
26222430040000,-112.045486,40.540901,Mixed Use - Towne Center,centroid,0.0761,12.14,South Jordan,0.22
26222430050000,-112.045786,40.54088,Mixed Use - Towne Center,centroid,0.078,11.81,South Jordan,0.12
26222430060000,-112.045684,40.540771,Mixed Use - Towne Center,centroid,0.0788,11.7,South Jordan,0.1
26222430070000,-112.045589,40.54067,Mixed Use - Towne Center,centroid,0.0785,11.74,South Jordan,0.1
26222430080000,-112.045483,40.540557,Mixed Use - Towne Center,centroid,0.0803,11.45,South Jordan,0.13
26222440010000,-112.046417,40.540873,Mixed Use - Towne Center,centroid,0.0803,11.45,South Jordan,0.08
26222440020000,-112.046273,40.540862,Mixed Use - Towne Center,centroid,0.082,11.2,South Jordan,0.06
26222440030000,-112.046126,40.540847,Mixed Use - Towne Center,centroid,0.0812,11.32,South Jordan,0.08
26222440040000,-112.046342,40.540685,Mixed Use - Towne Center,centroid,0.0835,10.97,South Jordan,0.13
26222440050000,-112.046292,40.540494,Mixed Use - Towne Center,centroid,0.0852,10.74,South Jordan,0.07
26222440060000,-112.046175,40.540553,Mixed Use - Towne Center,centroid,0.0849,10.78,South Jordan,0.06
26222440070000,-112.046069,40.540605,Mixed Use - Towne Center,centroid,0.0845,10.84,South Jordan,0.06
26222440080000,-112.045975,40.54067,Mixed Use - Towne Center,centroid,0.0827,11.1,South Jordan,0.07
26202000024001,-112.093364,40.5399,Mixed Use - Towne Center,centroid,0.08,11.51,,158.23
26205010010000,-112.093672,40.539554,Mixed Use - Towne Center,centroid,0.0806,11.41,,7.12
26213000010000,-112.074876,40.540846,Mixed Use - Towne Center,centroid,0.0906,10.04,South Jordan,209.29
26214000010000,-112.065292,40.540155,Mixed Use - Towne Center,centroid,0.0852,10.74,South Jordan,90.95
26215010010000,-112.079981,40.539652,Mixed Use - Towne Center,centroid,0.0768,12.03,South Jordan,2.71
26215010020000,-112.074153,40.53837,Mixed Use - Towne Center,centroid,0.0847,10.81,South Jordan,3.03
26215010030000,-112.067973,40.540714,Military Operation,centroid,0.0362,26.65,South Jordan,
26215010050000,-112.077837,40.53862,Mixed Use - Towne Center,centroid,0.0733,12.64,South Jordan,0.57
26223000060000,-112.060363,40.540122,Mixed Use - Towne Center,centroid,0.0862,10.6,South Jordan,60.03
26223000070000,-112.058687,40.537606,Mixed Use - Towne Center,centroid,0.0844,10.85,South Jordan,4.18
26223270030000,-112.057387,40.541894,Mixed Use - Towne Center,centroid,0.0862,10.61,South Jordan,6.94
26223280040000,-112.055543,40.54154,Mixed Use - Towne Center,centroid,0.0884,10.31,South Jordan,0.11
26223280050000,-112.055868,40.541354,Mixed Use - Towne Center,centroid,0.0881,10.35,South Jordan,0.1
26223280060000,-112.055732,40.541391,Mixed Use - Towne Center,centroid,0.0885,10.3,South Jordan,0.07
26223280070000,-112.055606,40.541392,Mixed Use - Towne Center,centroid,0.0885,10.3,South Jordan,0.07
26223280080000,-112.05548,40.541394,Mixed Use - Towne Center,centroid,0.0885,10.3,South Jordan,0.07
26223280090000,-112.055354,40.541395,Mixed Use - Towne Center,centroid,0.0881,10.36,South Jordan,0.07
26223280100000,-112.055218,40.541397,Mixed Use - Towne Center,centroid,0.0874,10.44,South Jordan,0.08
26223280110000,-112.055757,40.541143,Mixed Use - Towne Center,centroid,0.088,10.36,South Jordan,0.1
26223280120000,-112.055754,40.541019,Mixed Use - Towne Center,centroid,0.0879,10.37,South Jordan,0.1
26223280130000,-112.055751,40.540896,Mixed Use - Towne Center,centroid,0.0879,10.38,South Jordan,0.1
26223280140000,-112.055777,40.540727,Mixed Use - Towne Center,centroid,0.0878,10.38,South Jordan,0.17
26223280150000,-112.05565,40.540585,Mixed Use - Towne Center,centroid,0.0876,10.41,South Jordan,0.17
26224090210000,-112.050957,40.540478,Mixed Use - Towne Center,centroid,0.0816,11.26,South Jordan,0.06
26224090220000,-112.051092,40.540337,Mixed Use - Towne Center,centroid,0.0825,11.12,South Jordan,0.06
26224090230000,-112.051118,40.540257,Mixed Use - Towne Center,centroid,0.083,11.05,South Jordan,0.04
26224090240000,-112.05114,40.540194,Mixed Use - Towne Center,centroid,0.083,11.05,South Jordan,0.04
26223280160000,-112.055427,40.540557,Mixed Use - Towne Center,centroid,0.0875,10.43,South Jordan,0.1
26224090250000,-112.051163,40.54013,Mixed Use - Towne Center,centroid,0.0825,11.12,South Jordan,0.04
26224090260000,-112.051189,40.540055,Mixed Use - Towne Center,centroid,0.0827,11.09,South Jordan,0.06
26224090270000,-112.05122,40.539969,Mixed Use - Towne Center,centroid,0.0827,11.09,South Jordan,0.06
26224090280000,-112.051246,40.539894,Mixed Use - Towne Center,centroid,0.0826,11.11,South Jordan,0.04
26224090290000,-112.051269,40.539831,Mixed Use - Towne Center,centroid,0.0819,11.21,South Jordan,0.04
26224090300000,-112.051291,40.539767,Mixed Use - Towne Center,centroid,0.0817,11.24,South Jordan,0.04
26224090310000,-112.051316,40.539697,Mixed Use - Towne Center,centroid,0.0813,11.3,South Jordan,0.05
26224090320000,-112.051818,40.53961,Mixed Use - Towne Center,centroid,0.0805,11.43,South Jordan,0.05
26224090330000,-112.051729,40.539586,Mixed Use - Towne Center,centroid,0.0803,11.45,South Jordan,0.03
26224090340000,-112.051652,40.539566,Mixed Use - Towne Center,centroid,0.0803,11.45,South Jordan,0.04
26224090350000,-112.051567,40.539545,Mixed Use - Towne Center,centroid,0.0803,11.45,South Jordan,0.04
26224090360000,-112.051477,40.539556,Mixed Use - Towne Center,centroid,0.0807,11.4,South Jordan,0.04
26224090370000,-112.05141,40.539532,Mixed Use - Towne Center,centroid,0.0807,11.4,South Jordan,0.04
26224090380000,-112.051308,40.539519,Mixed Use - Towne Center,centroid,0.0809,11.36,South Jordan,0.08
26224100010000,-112.051443,40.540391,Mixed Use - Towne Center,centroid,0.0827,11.1,South Jordan,0.09
26224100020000,-112.051485,40.540272,Mixed Use - Towne Center,centroid,0.0819,11.21,South Jordan,0.09
